[Account_Value],[Account_Name],[Account_Description],[Account_Type],[Account_Sign],[Account_Document],[Account_Summary],[Default_Account],[Account_Parent]
99999,DO NOT USE,DO NOT USE,Expense,,No,Yes,SUMMARY,
99999,DO NOT USE,DO NOT USE,Expense,,No,No,C_MatchInv_WriteOff_Acct,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,B_ASSET_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,B_INTRANSIT_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,B_UNALLOCATEDCASH_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,CB_ASSET_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,CB_CASHTRANSFER_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,C_RECEIVABLE_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,C_RECEIVABLE_SERVICES_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,V_PREPAYMENT_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,T_CREDIT_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,INTERCOMPANYDUEFROM_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,P_ASSET_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,PJ_ASSET_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,PJ_WIP_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,V_LIABILITY_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,NOTINVOICEDRECEIPTS_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,V_LIABILITY_SERVICES_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,B_PAYMENTSELECT_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,C_PREPAYMENT_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,T_DUE_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,INTERCOMPANYDUETO_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,P_REVENUE_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,UNEARNEDREVENUE_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,P_TRADEDISCOUNTGRANT_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,PAYDISCOUNT_EXP_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,P_COGS_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,P_EXPENSE_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,P_COSTADJUSTMENT_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,P_LANDEDCOSTCLEARING_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,P_INVENTORYCLEARING_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,W_DIFFERENCES_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,P_INVOICEPRICEVARIANCE_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,P_PURCHASEPRICEVARIANCE_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,PPVOFFSET_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,P_RATEVARIANCE_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,P_AVERAGECOSTVARIANCE_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,P_LANDEDCOSTCLEARING_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,P_TRADEDISCOUNTREC_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,PAYDISCOUNT_REV_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,T_EXPENSE_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,WRITEOFF_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,CB_DIFFERENCES_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,DEFAULT_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,SUSPENSEBALANCING_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,CB_EXPENSE_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,CB_RECEIPT_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,CH_EXPENSE_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,B_INTERESTREV_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,UNREALIZEDGAIN_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,REALIZEDGAIN_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,B_INTERESTEXP_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,UNREALIZEDLOSS_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,REALIZEDLOSS_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,CURRENCYBALANCING_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,COMMITMENTOFFSET_ACCT,0
99999,DO NOT USE,DO NOT USE,Expense,,No,No,COMMITMENTOFFSETSALES_ACCT,0